source,headline,pubDate,date,headline_length,is_trading_day,Price,Open,High,Low,Close,Volume
CNBC,India’s state-owned refiners keep buying Russian oil even as New Delhi seeks U.S. tariff relief,,,95,False,,,,,,
CNBC,"Asian defense stocks pull back amid mixed regional trading, geopolitical uncertainty",,,84,False,,,,,,
CNBC,Cramer warns the January rally is driven by emotion and not all stocks will hold up,,,83,False,,,,,,
CNBC,Republican Rep. Doug LaMalfa dies at 65,,,39,False,,,,,,
CNBC,Huang says Nvidia seeing ‘very high’ Chinese customer demand for H200 AI chips,,,78,False,,,,,,
CNBC,Amazon's AI shopping tool sparks backlash from online retailers that didn't want websites scraped,,,97,False,,,,,,
CNBC,"Venezuela could be sitting on a big Bitcoin stash, experts say. Here's what could happen next",,,93,False,,,,,,
CNBC,"AMD's Lisa Su says AI isn't replacing people, but is changing who gets hired",,,76,False,,,,,,
CNBC,"Meta hires Microsoft exec, former Trump deputy as chief legal officer",,,69,False,,,,,,
CNBC,"This climate startup is taking recycling to the next level, with shower water beer",,,82,False,,,,,,
CNBC,Memory chip giants spark global semiconductor rally as shortages stoke price hikes,,,82,False,,,,,,
CNBC,"Meta delays Ray-Ban Display glasses global rollout due to inventory limits, U.S. demand",,,87,False,,,,,,
Investing.com,Thyssenkrupp shares jump as Jindal Steel weighs phased takeover of steel unit,,,77,False,,,,,,
Investing.com,UK sells £4.25 billion of 4⅛% Treasury Gilt 2031 at auction,,,59,False,,,,,,
Investing.com,"Eurozone annual inflation slows to 2.0%, Eurostat data shows",,,60,False,,,,,,
Investing.com,"German unemployment rises less than expected in December, labour office says",,,76,False,,,,,,
Investing.com,Cyprus assumes EU presidency with Ukraine’s Zelenskiy attending,,,63,False,,,,,,
Investing.com,UBS upgrades Elisa Oyj to “buy” as dividend yield hits 10-year high,,,67,False,,,,,,
Investing.com,Euro zone inflation eases to 2% before likely move below target in 2026,,,71,False,,,,,,
Investing.com,Oil prices sink 1% after Trump says Venezuela to ship crude to the US,,,69,False,,,,,,
Investing.com,"European stocks muted amid Venezuela fallout, impending data trove",,,66,False,,,,,,
Investing.com,France working with allies on plan should US move on Greenland,,,62,False,,,,,,
