source,headline,pubDate,date,headline_length
Yahoo Finance,Where Will Uber Technologies Stock Be in 3 Years?,2026-01-07 09:45:00+00:00,2026-01-07,49
Yahoo Finance,Vistra Expands Gas Fleet With $4 Billion Cogentrix Acquisition,2026-01-06 00:57:12+00:00,2026-01-06,62
Yahoo Finance,Corn Rallies Back on Monday,2026-01-05 23:12:44+00:00,2026-01-05,27
Yahoo Finance,Cotton Rally on Monday,2026-01-05 23:12:44+00:00,2026-01-05,22
Yahoo Finance,Soybeans Post Double Digit Gains on Monday,2026-01-05 23:12:44+00:00,2026-01-05,42
Yahoo Finance,Shareholder Activism Worked in 2025. The Surge Will Continue This Year.,2026-01-06 00:14:00+00:00,2026-01-06,71
Yahoo Finance,Samsung likely to flag 160% jump in Q4 profit as AI boom stokes chip prices,2026-01-06 01:27:34+00:00,2026-01-06,75
Yahoo Finance,The Libya Oil Story No One Is Pricing In Yet,2026-01-05 23:00:00+00:00,2026-01-05,44
Yahoo Finance,Daily ETF Flows: VOO Tops The List,2026-01-05 23:00:05+00:00,2026-01-05,34
Yahoo Finance,"Mystery trader garners $400,000-plus windfall on Maduro's capture",2026-01-05 22:55:02+00:00,2026-01-05,65
Yahoo Finance,Prediction: The S&P 500 $1 Trillion Club Will Double Between 2026 and 2030,2026-01-06 00:20:00+00:00,2026-01-06,74
Yahoo Finance,Bitcoin hoarder Strategy reveals $17.44 billion unrealized loss in fourth quarter,2026-01-05 22:49:52+00:00,2026-01-05,81
Yahoo Finance,"TSMC Stock Rises, But Semiconductor Rally Fades",2026-01-05 22:32:05+00:00,2026-01-05,47
Yahoo Finance,JPMorgan (JPM) Gets Fresh Price Target Bump as Barclays Stays Overweight on Big Banks,2026-01-06 02:31:46+00:00,2026-01-06,85
Yahoo Finance,Edison International (EIX) Target Trimmed as Morgan Stanley Flags Ongoing Wildfire Exposure,2026-01-06 02:34:43+00:00,2026-01-06,91
Yahoo Finance,This AI Cloud Specialist Is Poised for a Decade of Explosive Growth,2026-01-06 00:11:00+00:00,2026-01-06,67
Yahoo Finance,Melius Sets $135 Target on Marvell (MRVL) as Custom Silicon Demand Accelerates,2026-01-06 02:37:02+00:00,2026-01-06,78
Yahoo Finance,Wells Fargo Lifts BankUnited (BKU) Target Ahead of Expected 2026 Earnings Recovery,2026-01-06 02:39:16+00:00,2026-01-06,82
Yahoo Finance,"Mizuho Sees Sales Upside at Darden (DRI), Flags Ongoing Commodity Cost Pressure",2026-01-06 02:41:37+00:00,2026-01-06,79
Yahoo Finance,"Freedom Capital Sees Strong Results at Mastercard (MA), Maintains Hold View",2026-01-06 02:43:43+00:00,2026-01-06,75
Yahoo Finance,Why Constellation Energy Stock Slumped Today,2026-01-06 00:25:38+00:00,2026-01-06,44
Yahoo Finance,UBS Keeps Neutral on RPM while Mizuho Maintains Outperform Amid Sector Weakness,2026-01-06 02:45:54+00:00,2026-01-06,79
CNBC,Why Trump wants Greenland — and what makes it so important for national security,,,80
CNBC,Big Pharma race to snap up biotech assets as $170 billion patent cliff looms,,,76
CNBC,Trump says Venezuela to give up to 50 million barrels of oil to U.S.,,,68
CNBC,"Trump administration freezes $10B in child, family aid to 5 states over fraud concerns",,,86
CNBC,"Seven U.S. troops injured in Venezuela raid that captured Maduro, Pentagon says",,,79
CNBC,Berkshire Hathaway lifts new CEO Greg Abel’s salary to $25 million,,,66
CNBC,Hilton Hotels removing Minneapolis franchise location after it again denied DHS booking,,,87
CNBC,"Elon Musk's xAI raises $20 billion from investors including Nvidia, Cisco, Fidelity",,,83
CNBC,How Russia is benefiting from Trump's Venezuelan oil plan,,,57
CNBC,Who could see bigger tax refunds in 2026 from Trump's cuts,,,58
CNBC,"Euro zone inflation hits 2% in December, in line with forecasts",,,63
CNBC,"Prediction markets show rising odds Trump seizes Panama Canal, moves on Greenland",,,81
CNBC,Venezuela bonds are the hottest trade on Wall Street this week. But there are big risks from here,,,97
CNBC,Trump sets his sights on Greenland — but its economy faces ‘major challenges’,,,77
CNBC,"ACA subsidy cliff may mean 'astronomical tax bills' for many, CFP says",,,70
CNBC,"Our Goldman Sachs stake may soon require action, and that's a good problem",,,74
CNBC,European defense stocks rise as Denmark moves to rearm Greenland,,,64
CNBC,Uniqlo and Coach are opening cafes — joining longtime coffee players Ralph Lauren and Capital One. Here's why it's become a retail trend,,,136
CNBC,India’s state-owned refiners keep buying Russian oil even as New Delhi seeks U.S. tariff relief,,,95
CNBC,"Asian defense stocks pull back amid mixed regional trading, geopolitical uncertainty",,,84
CNBC,Cramer warns the January rally is driven by emotion and not all stocks will hold up,,,83
CNBC,Republican Rep. Doug LaMalfa dies at 65,,,39
CNBC,Huang says Nvidia seeing ‘very high’ Chinese customer demand for H200 AI chips,,,78
CNBC,Amazon's AI shopping tool sparks backlash from online retailers that didn't want websites scraped,,,97
CNBC,"Venezuela could be sitting on a big Bitcoin stash, experts say. Here's what could happen next",,,93
CNBC,"AMD's Lisa Su says AI isn't replacing people, but is changing who gets hired",,,76
CNBC,"Meta hires Microsoft exec, former Trump deputy as chief legal officer",,,69
CNBC,"This climate startup is taking recycling to the next level, with shower water beer",,,82
CNBC,Memory chip giants spark global semiconductor rally as shortages stoke price hikes,,,82
CNBC,"Meta delays Ray-Ban Display glasses global rollout due to inventory limits, U.S. demand",,,87
Investing.com,Thyssenkrupp shares jump as Jindal Steel weighs phased takeover of steel unit,,,77
Investing.com,UK sells £4.25 billion of 4⅛% Treasury Gilt 2031 at auction,,,59
Investing.com,"Eurozone annual inflation slows to 2.0%, Eurostat data shows",,,60
Investing.com,"German unemployment rises less than expected in December, labour office says",,,76
Investing.com,Cyprus assumes EU presidency with Ukraine’s Zelenskiy attending,,,63
Investing.com,UBS upgrades Elisa Oyj to “buy” as dividend yield hits 10-year high,,,67
Investing.com,Euro zone inflation eases to 2% before likely move below target in 2026,,,71
Investing.com,Oil prices sink 1% after Trump says Venezuela to ship crude to the US,,,69
Investing.com,"European stocks muted amid Venezuela fallout, impending data trove",,,66
Investing.com,France working with allies on plan should US move on Greenland,,,62
